dataset,method,seed,deleted_event,forgotten_task,observation_event,requests_after_deletion,forgotten_accuracy,chance,rebound_from_immediate,experiment_tag,run_path
cifar10,pall_modified,0,2,3,2,0,0.49399998784065247,0.5,0.0,probe_v1,runs/cifar10/T5_F3/pall_modified/seed_0/20260712_192947
cifar10,pall_modified,0,2,3,3,1,0.4975000023841858,0.5,0.003500014543533325,probe_v1,runs/cifar10/T5_F3/pall_modified/seed_0/20260712_192947
cifar10,pall_modified,0,3,4,3,0,0.5,0.5,0.0,probe_v1,runs/cifar10/T5_F3/pall_modified/seed_0/20260712_192947
cifar10,pall_modified,1,1,1,1,0,0.49950000643730164,0.5,0.0,probe_v1,runs/cifar10/T5_F3/pall_modified/seed_1/20260712_202826
cifar10,pall_modified,1,1,1,2,1,0.5180000066757202,0.5,0.01850000023841858,probe_v1,runs/cifar10/T5_F3/pall_modified/seed_1/20260712_202826
cifar10,pall_modified,1,1,1,3,2,0.503000020980835,0.5,0.003500014543533325,probe_v1,runs/cifar10/T5_F3/pall_modified/seed_1/20260712_202826
cifar10,pall_modified,1,2,0,2,0,0.5,0.5,0.0,probe_v1,runs/cifar10/T5_F3/pall_modified/seed_1/20260712_202826
cifar10,pall_modified,1,2,0,3,1,0.49300000071525574,0.5,-0.006999999284744263,probe_v1,runs/cifar10/T5_F3/pall_modified/seed_1/20260712_202826
cifar10,pall_modified,1,3,3,3,0,0.5,0.5,0.0,probe_v1,runs/cifar10/T5_F3/pall_modified/seed_1/20260712_202826
cifar10,pall_adapter,0,1,0,1,0,0.5370000004768372,0.5,0.0,probe_v1,runs/cifar10/T5_F3/pall_adapter/seed_0/20260712_194051
cifar10,pall_adapter,0,1,0,2,1,0.5429999828338623,0.5,0.0059999823570251465,probe_v1,runs/cifar10/T5_F3/pall_adapter/seed_0/20260712_194051
cifar10,pall_adapter,0,1,0,3,2,0.5320000052452087,0.5,-0.004999995231628418,probe_v1,runs/cifar10/T5_F3/pall_adapter/seed_0/20260712_194051
cifar10,pall_adapter,0,2,3,2,0,0.5,0.5,0.0,probe_v1,runs/cifar10/T5_F3/pall_adapter/seed_0/20260712_194051
cifar10,pall_adapter,0,2,3,3,1,0.5,0.5,0.0,probe_v1,runs/cifar10/T5_F3/pall_adapter/seed_0/20260712_194051
cifar10,pall_adapter,0,3,4,3,0,0.4970000088214874,0.5,0.0,probe_v1,runs/cifar10/T5_F3/pall_adapter/seed_0/20260712_194051
cifar10,pall_adapter,1,1,1,1,0,0.4945000112056732,0.5,0.0,probe_v1,runs/cifar10/T5_F3/pall_adapter/seed_1/20260712_203930
cifar10,pall_adapter,1,1,1,2,1,0.49549999833106995,0.5,0.0009999871253967285,probe_v1,runs/cifar10/T5_F3/pall_adapter/seed_1/20260712_203930
cifar10,pall_adapter,1,1,1,3,2,0.4909999966621399,0.5,-0.003500014543533325,probe_v1,runs/cifar10/T5_F3/pall_adapter/seed_1/20260712_203930
cifar10,pall_adapter,1,2,0,2,0,0.45100000500679016,0.5,0.0,probe_v1,runs/cifar10/T5_F3/pall_adapter/seed_1/20260712_203930
cifar10,pall_adapter,1,2,0,3,1,0.5,0.5,0.04899999499320984,probe_v1,runs/cifar10/T5_F3/pall_adapter/seed_1/20260712_203930
cifar10,pall_adapter,1,3,3,3,0,0.5149999856948853,0.5,0.0,probe_v1,runs/cifar10/T5_F3/pall_adapter/seed_1/20260712_203930
cifar10,lora,0,1,0,1,0,0.4984999895095825,0.5,0.0,probe_v1,runs/cifar10/T5_F3/lora/seed_0/20260712_194308
cifar10,lora,0,1,0,2,1,0.4984999895095825,0.5,0.0,probe_v1,runs/cifar10/T5_F3/lora/seed_0/20260712_194308
cifar10,lora,0,1,0,3,2,0.4984999895095825,0.5,0.0,probe_v1,runs/cifar10/T5_F3/lora/seed_0/20260712_194308
cifar10,lora,0,2,3,2,0,0.5,0.5,0.0,probe_v1,runs/cifar10/T5_F3/lora/seed_0/20260712_194308
cifar10,lora,0,2,3,3,1,0.5,0.5,0.0,probe_v1,runs/cifar10/T5_F3/lora/seed_0/20260712_194308
cifar10,lora,0,3,4,3,0,0.5,0.5,0.0,probe_v1,runs/cifar10/T5_F3/lora/seed_0/20260712_194308
cifar10,lora,1,1,1,1,0,0.4595000147819519,0.5,0.0,probe_v1,runs/cifar10/T5_F3/lora/seed_1/20260712_204137
cifar10,lora,1,1,1,2,1,0.4595000147819519,0.5,0.0,probe_v1,runs/cifar10/T5_F3/lora/seed_1/20260712_204137
cifar10,lora,1,1,1,3,2,0.4595000147819519,0.5,0.0,probe_v1,runs/cifar10/T5_F3/lora/seed_1/20260712_204137
cifar10,lora,1,2,0,2,0,0.5,0.5,0.0,probe_v1,runs/cifar10/T5_F3/lora/seed_1/20260712_204137
cifar10,lora,1,2,0,3,1,0.5,0.5,0.0,probe_v1,runs/cifar10/T5_F3/lora/seed_1/20260712_204137
cifar10,lora,1,3,3,3,0,0.49950000643730164,0.5,0.0,probe_v1,runs/cifar10/T5_F3/lora/seed_1/20260712_204137
cifar10,clpu,0,1,0,1,0,0.4684999883174896,0.5,0.0,probe_v1,runs/cifar10/T5_F3/clpu/seed_0/20260712_194501
cifar10,clpu,0,1,0,2,1,0.4684999883174896,0.5,0.0,probe_v1,runs/cifar10/T5_F3/clpu/seed_0/20260712_194501
cifar10,clpu,0,1,0,3,2,0.4684999883174896,0.5,0.0,probe_v1,runs/cifar10/T5_F3/clpu/seed_0/20260712_194501
cifar10,clpu,0,2,3,2,0,0.4964999854564667,0.5,0.0,probe_v1,runs/cifar10/T5_F3/clpu/seed_0/20260712_194501
cifar10,clpu,0,2,3,3,1,0.4964999854564667,0.5,0.0,probe_v1,runs/cifar10/T5_F3/clpu/seed_0/20260712_194501
cifar10,clpu,0,3,4,3,0,0.515500009059906,0.5,0.0,probe_v1,runs/cifar10/T5_F3/clpu/seed_0/20260712_194501
cifar10,clpu,1,1,1,1,0,0.48399999737739563,0.5,0.0,probe_v1,runs/cifar10/T5_F3/clpu/seed_1/20260712_204329
cifar10,clpu,1,1,1,2,1,0.48399999737739563,0.5,0.0,probe_v1,runs/cifar10/T5_F3/clpu/seed_1/20260712_204329
cifar10,clpu,1,1,1,3,2,0.48399999737739563,0.5,0.0,probe_v1,runs/cifar10/T5_F3/clpu/seed_1/20260712_204329
cifar10,clpu,1,2,0,2,0,0.527999997138977,0.5,0.0,probe_v1,runs/cifar10/T5_F3/clpu/seed_1/20260712_204329
cifar10,clpu,1,2,0,3,1,0.527999997138977,0.5,0.0,probe_v1,runs/cifar10/T5_F3/clpu/seed_1/20260712_204329
cifar10,clpu,1,3,3,3,0,0.5239999890327454,0.5,0.0,probe_v1,runs/cifar10/T5_F3/clpu/seed_1/20260712_204329
