dataset,method,level,seed,selected_run_path,WorstDrop
cifar10,pall_original,low,3,runs/cifar10/T5_F3/pall_original/seed_3/20260808_092230,0.004999995231628418
cifar10,pall_original,low,4,runs/cifar10/T5_F3/pall_original/seed_4/20260808_144322,0.018500030040740967
cifar10,pall_original,medium,0,runs/cifar10/T5_F3/pall_original/seed_0/20260712_044040,0.049000024795532227
cifar10,pall_original,medium,1,runs/cifar10/T5_F3/pall_original/seed_1/20260712_095631,0.020000040531158447
cifar10,pall_original,medium,2,runs/cifar10/T5_F3/pall_original/seed_2/20260808_050555,0.033999979496002197
cifar10,pall_original,medium,3,runs/cifar10/T5_F3/pall_original/seed_3/20260808_102652,0.011999964714050293
cifar10,pall_original,medium,4,runs/cifar10/T5_F3/pall_original/seed_4/20260808_154748,0.038999974727630615
cifar10,pall_original,high,0,runs/cifar10/T5_F3/pall_original/seed_0/20260712_054355,0.027500033378601074
cifar10,pall_original,high,1,runs/cifar10/T5_F3/pall_original/seed_1/20260712_105934,0.015500009059906006
cifar10,pall_original,high,2,runs/cifar10/T5_F3/pall_original/seed_2/20260808_061009,0.039499998092651367
cifar10,pall_original,high,3,runs/cifar10/T5_F3/pall_original/seed_3/20260808_113058,0.023000001907348633
cifar10,pall_original,high,4,runs/cifar10/T5_F3/pall_original/seed_4/20260808_165207,0.046000003814697266
cifar10,pall_original,very_high,0,runs/cifar10/T5_F3/pall_original/seed_0/20260712_064700,0.03600001335144043
cifar10,pall_original,very_high,1,runs/cifar10/T5_F3/pall_original/seed_1/20260712_120255,0.027999997138977051
cifar10,pall_original,very_high,2,runs/cifar10/T5_F3/pall_original/seed_2/20260808_071358,0.049000024795532227
cifar10,pall_original,very_high,3,runs/cifar10/T5_F3/pall_original/seed_3/20260808_123514,0.021999955177307129
cifar10,pall_original,very_high,4,runs/cifar10/T5_F3/pall_original/seed_4/20260808_175642,0.046500027179718018
cifar10,salun,very_low,0,runs/cifar10/T5_F3/salun/seed_0/20260712_030036,0.017499983310699463
cifar10,salun,very_low,1,runs/cifar10/T5_F3/salun/seed_1/20260712_081638,0.048999965190887451
cifar10,salun,very_low,2,runs/cifar10/T5_F3/salun/seed_2/20260808_032425,0.055999994277954102
cifar10,salun,very_low,3,runs/cifar10/T5_F3/salun/seed_3/20260808_084514,0.049500048160552979
cifar10,salun,very_low,4,runs/cifar10/T5_F3/salun/seed_4/20260808_140615,-0.0025000572204589844
cifar10,salun,low,0,runs/cifar10/T5_F3/salun/seed_0/20260712_040358,0.025499999523162842
cifar10,salun,low,1,runs/cifar10/T5_F3/salun/seed_1/20260712_091956,0.035499989986419678
cifar10,salun,low,2,runs/cifar10/T5_F3/salun/seed_2/20260808_042844,0.042500019073486328
cifar10,salun,low,3,runs/cifar10/T5_F3/salun/seed_3/20260808_094917,0.033000051975250244
cifar10,salun,low,4,runs/cifar10/T5_F3/salun/seed_4/20260808_151026,0.090499997138977051
cifar10,salun,medium,0,runs/cifar10/T5_F3/salun/seed_0/20260712_050719,0.0040000081062316895
cifar10,salun,medium,1,runs/cifar10/T5_F3/salun/seed_1/20260712_102304,0.040499985218048096
cifar10,salun,medium,2,runs/cifar10/T5_F3/salun/seed_2/20260808_053241,0.045000016689300537
cifar10,salun,medium,3,runs/cifar10/T5_F3/salun/seed_3/20260808_105345,0.019000053405761719
cifar10,salun,medium,4,runs/cifar10/T5_F3/salun/seed_4/20260808_161437,0.027000010013580322
cifar10,salun,high,0,runs/cifar10/T5_F3/salun/seed_0/20260712_061032,0.022000014781951904
cifar10,salun,high,1,runs/cifar10/T5_F3/salun/seed_1/20260712_112621,0.052500009536743164
cifar10,salun,high,2,runs/cifar10/T5_F3/salun/seed_2/20260808_063649,0.035000026226043701
cifar10,salun,high,3,runs/cifar10/T5_F3/salun/seed_3/20260808_115750,0.028499960899353027
cifar10,salun,high,4,runs/cifar10/T5_F3/salun/seed_4/20260808_171908,0.034999966621398926
cifar10,salun,very_high,0,runs/cifar10/T5_F3/salun/seed_0/20260712_071327,0.016499996185302734
cifar10,salun,very_high,1,runs/cifar10/T5_F3/salun/seed_1/20260712_122945,0.046000003814697266
cifar10,salun,very_high,2,runs/cifar10/T5_F3/salun/seed_2/20260808_074043,0.041000008583068848
cifar10,salun,very_high,3,runs/cifar10/T5_F3/salun/seed_3/20260808_130205,0.025999963283538818
cifar10,salun,very_high,4,runs/cifar10/T5_F3/salun/seed_4/20260808_182333,0.055999994277954102
cifar100,clpu,very_low,0,runs/cifar100/T10_F3/clpu/seed_0/20260712_032930,0
cifar100,clpu,very_low,1,runs/cifar100/T10_F3/clpu/seed_1/20260712_084532,0
cifar100,clpu,very_low,2,runs/cifar100/T10_F3/clpu/seed_2/20260808_035341,0
